scenario,seed,model,noise_sigma,corruption_rate,imputer,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
feature_corruption,42,L2-LR,0.0,0.1,mean,192,48,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6388888888888888,0.005821499999001389,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,42,LDA,0.0,0.1,mean,192,48,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6944444444444444,0.0009686999983387068,0.02974700927734375,{}
feature_corruption,42,GNB,0.0,0.1,mean,192,48,0.8541666666666666,1.0,0.4166666666666667,0.5882352941176471,0.7083333333333334,0.0011980999988736585,0.02919769287109375,{}
feature_corruption,42,LR-Newton,0.0,0.1,median,192,48,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6944444444444444,0.003984199996921234,0.06348419189453125,"{""n_iterations"": 8, ""tol"": 1e-06}"
feature_corruption,42,L2-LR,0.0,0.1,median,192,48,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6388888888888888,0.00610439999945811,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,42,LDA,0.0,0.1,median,192,48,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6944444444444444,0.0009912000023177825,0.02974700927734375,{}
feature_corruption,42,GNB,0.0,0.1,median,192,48,0.8541666666666666,1.0,0.4166666666666667,0.5882352941176471,0.7083333333333334,0.0013044000006630085,0.02919769287109375,{}
feature_corruption,42,LR-Newton,0.0,0.1,knn,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.003916499998013023,0.06348419189453125,"{""n_iterations"": 8, ""tol"": 1e-06}"
feature_corruption,42,L2-LR,0.0,0.1,knn,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.005578199998126365,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,42,LDA,0.0,0.1,knn,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0009764999995240942,0.02974700927734375,{}
feature_corruption,42,GNB,0.0,0.1,knn,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0012654999991354998,0.02919769287109375,{}
