scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters,noise_sigma,corruption_rate,imputer
noise_injection,,2026,LDA,9600,2400,0.81375,0.7003058103975535,0.3961937716262976,0.5060773480662983,0.6712033622127097,0.004792899999301881,1.5792083740234375,{},0.1,0.0,none
noise_injection,,2026,GNB,9600,2400,0.7908333333333334,0.6428571428571429,0.2958477508650519,0.4052132701421801,0.6218536229627125,0.004894800018519163,1.3996047973632812,{},0.1,0.0,none
noise_injection,,13,LR-Newton,9600,2400,0.8179166666666666,0.6997167138810199,0.4273356401384083,0.5306122448979591,0.6845789067870967,0.059454699978232384,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.5,0.0,none
noise_injection,,13,L2-LR,9600,2400,0.81375,0.6990881458966566,0.39792387543252594,0.5071664829106947,0.6717939904056154,0.27014219999546185,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.5,0.0,none
noise_injection,,13,LDA,9600,2400,0.8075,0.6790123456790124,0.3806228373702422,0.4878048780487806,0.6617713528234307,0.0032063000253401697,1.5784683227539062,{},0.5,0.0,none
noise_injection,,13,GNB,9600,2400,0.79,0.6380597014925373,0.2958477508650519,0.40425531914893614,0.6213047755422954,0.0032532000332139432,1.3996047973632812,{},0.5,0.0,none
noise_injection,,42,LR-Newton,9600,2400,0.8158333333333333,0.6965317919075145,0.41695501730103807,0.5216450216450217,0.67966301907862,0.060718499997165054,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.5,0.0,none
noise_injection,,42,L2-LR,9600,2400,0.815,0.7067901234567902,0.3961937716262976,0.5077605321507761,0.6720266333433355,0.33221490000141785,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.5,0.0,none
noise_injection,,42,LDA,9600,2400,0.8075,0.6870967741935484,0.3685121107266436,0.47972972972972966,0.6576369554730912,0.005082299991045147,1.5784683227539062,{},0.5,0.0,none
noise_injection,,42,GNB,9600,2400,0.7908333333333334,0.6428571428571429,0.2958477508650519,0.4052132701421801,0.6218536229627125,0.0047213000361807644,1.3996047973632812,{},0.5,0.0,none
noise_injection,,77,LR-Newton,9600,2400,0.8158333333333333,0.6910112359550562,0.42560553633217996,0.5267665952890793,0.6826161600431482,0.05864659999497235,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.5,0.0,none
noise_injection,,77,L2-LR,9600,2400,0.8133333333333334,0.6946107784431138,0.4013840830449827,0.5087719298245613,0.672700823081218,0.28991859999950975,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.5,0.0,none
noise_injection,,77,LDA,9600,2400,0.8029166666666666,0.664576802507837,0.36678200692041524,0.4726867335562988,0.6540276664678915,0.009952300053555518,1.5784683227539062,{},0.5,0.0,none
noise_injection,,77,GNB,9600,2400,0.7904166666666667,0.6404494382022472,0.2958477508650519,0.40473372781065087,0.6215791992525039,0.003549500019289553,1.3996047973632812,{},0.5,0.0,none
noise_injection,,123,LR-Newton,9600,2400,0.8220833333333334,0.7138810198300283,0.4359861591695502,0.5413533834586467,0.6902762848537103,0.06228670000564307,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.5,0.0,none
noise_injection,,123,L2-LR,9600,2400,0.82,0.718562874251497,0.41522491349480967,0.5263157894736842,0.6818166279878,0.3841893000062555,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.5,0.0,none
noise_injection,,123,LDA,9600,2400,0.8108333333333333,0.69375,0.38408304498269896,0.4944320712694877,0.6651479988909104,0.0038263999740593135,1.5784683227539062,{},0.5,0.0,none
